store_id,store_name,store_address,zip_code
65138,”BISHAN JUNCTION 8”,”9 Bishan Place #01-09 Junction 8 Shopping Centre. 579837  Singapore”,579837
65063,”AMK HUB”,”53 Ang Mo Kio Avenue 3 #B1-02 AMK Hub. 569933  Singapore”,569933
65032,”TOA PAYOH HDB HUB”,”530 Lorong 6 Toa Payoh #01-08A HDB Hub. 310530  Singapore”,310530
65148,”NOVENA SQUARE”,”238 Thomson Road #01-34 Novena Square. 307683  Singapore”,307683
65158,”HOLLAND VILLIAGE”,”271 Holland Avenue. 278991  Singapore”,278991
65175,”TANGLIN MALL”,”163 Tanglin Road Tanglin Mall #01-10. 247933  Singapore”,247933
65013,”ION ORCHARD”,"”2 Orchard Turn #B2-39. 238801  Singapore""",238801
65023,”WISMA ATRIA”,”435 Orchard Road #B1-37 Wisma Atria. 238877  Singapore”,238877
65127,”PARAGON”,”290 Orchard Road #B1-15 Paragon. 238859  Singapore”,238859
65043,”NGEE ANN CITY”,”391 Orchard Road #B1-34 Ngee Ann City. 238872  Singapore”,238872
65010,”NEX SHOPPING MALL”,”23 Serangoon Central #01-45 Nex Shopping Mall. 556083  Singapore”,556083
65025,”CITY SQUARE MALL”,”180 Kitchener Road City Square Mall #01-26. 208539  Singapore”,208539
65114,”PLAZA SINGAPURA”,”68 Orchard Road #01-02 Plaza Singapura. 238839  Singapore”,238839
65082,”GREAT WORLD CITY”,”1 Kim Seng Promenade #01-39A Great World City. 237994  Singapore”,237994
65044,”BUKIT PANJANG PLAZA”,”1 Jelebu Road #01-46/47 Bukit Panjang Plaza. 677743  Singapore”,677743
65033,”BUGIS JUNCTION”,”200 Victoria Street #01-28 Bugis Junction. 188021  Singapore”,188021
65022,”TIONG BAHRU PLAZA”,”302 Tiong Bahru Road #01-115. 168732  Singapore”,168732
65104,”CAPITOL PIAZZA”,”13 Stamford Road #B2-18 Capitol Piazza. 178905  Singapore”,178905
65028,”RAFFLES CITY”,”252 North Bridge Road #01-42 Raffles City Shopping Centre. 179103  Singapore”,179103
65076,”THE CLEMENTI MALL”,”441 Commonwealth Ave West #03-29 The Clementi Mall. 120441  Singapore”,120441
65035,”SUNTEC CITY”,”3 Temasek Boulevard #01-422/423 Suntec City. 38983  Singapore”,38983
65017,”CHINATOWN POINT”,”133 New Bridge Road #01-26. 59413  Singapore”,59413
65038,”IMM OUTLET”,”2 Jurong East Street 21 Level 1 #01-121 IMM Building. 609601  Singapore”,609601
65067,”HOUGANG MALL”,”90 Hougang Avenue 10 #01-34 Hougang Mall. 538766  Singapore”,538766
65036,”JURONG EAST MALL”,”50 Jurong Gateway Road #01-21 JEM. 608549  Singapore”,608549
65060,”NORTHPOINT”,”930 Yishun Avenue 2 #01-09 Northpoint Shopping Centre. 769098  Singapore”,769098
65065,”LOT ONE”,”21 Choa Chu Kang Ave 4 #01-14 Lot 1 Shopper's Mall. 689812  Singapore”,689812
65081,”COMPASS ONE”,”1 SengKang Square Compass One #01-18. 545078  Singapore”,545078
65058,”VIVOCITY”,”1 HarbourFront Walk #02-233A. 98585  Singapore”,98585
65111,”SEMBAWANG”,”604 Sembawang Road #01-04 Sembawang Shopping Centre. 758459  Singapore”,758459
65218,”CAUSEWAY POINT”,”1 Woodlands Square #01-31 Causeway Point. 738099  Singapore”,738099
65083,”WATERWAY POINT”,”83 Punggol Central #01-55 Waterway Point. 828761  Singapore”,828761
65108,”PARKWAY PARADE”,”80 Marine Parade Road #B1-50/66 Parkway Parade. 449296  Singapore”,449296
65190,”BEDOK MALL”,”311 New Upper Changi Road Bedok Mall #01-26. 467360  Singapore”,467360
65073,”JURONG POINT”,”1 Jurong Point Central #01-03 Jurong Point Shopping Centre. 648886  Singapore”,648886
65155,”TAMPINES MALL”,”4 Tampines Central 5 #01-30 Tampines Mall. 529510  Singapore”,529510
65037,”CHANGI CITY POINT”,”5 Changi Business Park Central 1  Changi City Point #01-23. 486038  Singapore”,486038
65072,”CHANGI AIRPORT TERMINAL 3”,”65 Airport Boulevard #B2-47Changi Airport Terminal 3. 819663  Singapore”,819663
